转债编码,名称,正股代码,正股名称,转债价格,溢价率,信用,续存期,税前收益率,营收(亿元),应收同比(%),净利润(亿元),净利润同比(%),利润率(%),利润率同比(%),ROE(%),ROE同比(%),负债率,负债率同比(%),报告期,PB,股票市值(亿元),转股余额(亿元),余额/股本(%),双低值
123031,晶瑞转债,300655,晶瑞股份,248.28,29.6,A+,1.49,-16.0,7.14,25.32,0.62,196.42,8.64,136.71,10.27,154.21,35.01,-35.04,2020-09-30,5.19,67.0,0.63,1.8,277.88
128073,哈尔转债,002615,哈尔斯,102.23,42.5,AA-,1.53,3.64,10.06,-24.78,-0.14,-115.32,-1.38,-120.32,-1.63,-115.35,59.72,4.16,2020-09-30,2.11,17.0,2.99,12.7,144.73
123030,九洲转债,300040,九洲集团,155.499,12.8,AA-,1.53,-5.81,8.27,102.21,0.56,32.76,6.8,-34.3,2.74,24.55,63.83,21.57,2020-09-30,1.35,30.0,0.97,4.5,168.3
128072,翔鹭转债,002842,翔鹭钨业,98.1,52.5,AA-,1.52,3.77,9.77,-4.09,0.29,363.81,2.99,382.26,3.01,306.76,58.95,-2.96,2020-09-30,2.97,27.0,3.02,7.2,150.6
123029,英科转债,300677,英科医疗,1900.0,29.6,AA-,1.53,-41.0,138.37,564.29,70.07,3829.56,50.64,491.59,132.22,910.86,27.0,-45.8,2020-12-31,6.26,584.0,1.23,3.1,1929.6
128071,合兴转债,002228,合兴包装,107.7,15.2,AA,1.52,1.49,80.71,-2.18,2.18,11.99,2.7,14.41,6.78,-2.16,51.16,-3.36,2020-09-30,1.48,50.0,3.0,5.7,122.9
113543,欧派转债,603833,欧派家居,221.7,0.0,AA,1.55,-14.1,97.32,2.06,14.5,5.23,14.9,3.11,14.37,-14.0,39.87,0.85,2020-09-30,8.76,956.0,5.37,1.2,221.7
113542,好客转债,603898,好莱客,118.61,8.4,AA,1.58,-0.74,14.06,-9.66,1.8,-31.14,12.79,-23.78,7.31,-33.73,29.92,4.63,2020-09-30,2.26,55.0,6.03,11.9,127.01
113541,荣晟转债,603165,荣晟环保,116.55,0.1,AA-,1.61,-0.32,12.46,-5.73,1.72,-7.38,13.78,-1.78,11.41,-19.99,22.21,0.15,2020-09-30,2.22,34.0,2.69,9.2,116.65
128070,智能转债,002877,智能自控,105.88,42.6,A+,1.67,2.55,3.97,8.52,0.38,-34.0,9.49,-39.17,4.99,-46.4,45.17,8.53,2020-09-30,3.29,23.0,2.3,7.3,148.48
128069,华森转债,002907,华森制药,100.2,58.1,AA-,1.7,4.43,6.25,-0.26,0.95,-31.2,15.17,-31.01,8.53,-43.17,32.61,-4.2,2020-09-30,4.27,46.0,3.0,4.1,158.3
123028,清水转债,300437,清水源,96.45,37.1,AA-,1.69,5.83,8.89,-21.34,0.72,-30.27,8.13,-11.34,4.41,-37.97,59.73,0.55,2020-09-30,1.18,18.0,4.56,17.4,133.55
113027,华钰转债,601020,华钰矿业,101.92,21.8,AA-,1.7,2.94,18.1,176.08,0.6,-19.35,3.33,-70.84,2.72,-26.29,34.87,-7.44,2020-09-30,1.94,47.0,3.25,5.8,123.72
123027,蓝晓转债,300487,蓝晓科技,154.8,12.5,A+,1.72,-6.09,6.82,-19.75,1.64,-28.76,24.05,-11.25,11.57,-44.46,34.0,-18.08,2020-09-30,5.45,87.0,1.08,1.7,167.3
113537,文灿转债,603348,文灿股份,122.07,9.1,AA-,1.72,-0.11,14.56,34.28,0.74,56.8,5.09,16.74,3.09,33.19,51.07,25.45,2020-09-30,2.23,56.0,1.77,3.5,131.17
113536,三星转债,603578,三星新材,114.76,10.2,AA,1.75,0.01,3.19,28.49,0.7,49.02,21.97,16.0,10.55,25.0,30.22,5.22,2020-09-30,2.68,19.0,1.49,8.3,124.96
113535,大业转债,603278,大业股份,96.55,46.4,AA,1.81,5.27,20.8,3.92,0.78,-43.32,3.73,-45.47,4.49,-49.55,63.96,11.75,2020-09-30,1.45,24.0,5.0,13.9,142.95
128066,亚泰转债,002811,郑中设计,98.283,16.8,AA-,1.86,4.61,13.22,-20.5,0.36,-62.55,2.74,-52.92,2.21,-67.16,48.14,-5.44,2020-09-30,1.49,22.0,4.8,18.4,115.08
110058,永鼎转债,600105,永鼎股份,98.58,54.3,AA,1.88,3.93,22.4,-14.38,-1.53,-993.51,-6.82,-1149.23,-5.17,-1007.02,51.34,2.12,2020-09-30,1.58,44.0,2.61,3.8,152.88
127013,创维转债,000810,创维数字,98.3,44.1,AA,1.85,4.68,59.37,-5.57,2.81,-42.9,4.73,-39.59,7.18,-51.52,56.71,-12.96,2020-09-30,2.13,83.0,9.78,8.1,142.4
113026,核能转债,601985,中国核电,107.4,14.0,AAA,1.88,0.56,369.42,9.02,49.08,33.23,13.29,22.26,9.36,22.19,72.28,-2.77,2020-09-30,1.65,964.0,78.0,7.6,121.4
113025,明泰转债,601677,明泰铝业,183.61,0.4,AA,1.88,-11.1,115.24,10.09,7.18,2.59,6.23,-6.88,9.71,-10.51,36.34,4.24,2020-09-30,1.67,136.0,12.2,16.5,184.01
113534,鼎胜转债,603876,鼎胜新材,97.68,23.6,AA,1.9,4.19,89.99,7.76,-0.12,-106.23,-0.13,-105.65,-0.31,-105.63,74.07,9.48,2020-09-30,1.45,52.0,12.0,18.2,121.28
113024,核建转债,601611,中国核建,105.3,28.5,AAA,1.91,1.04,532.57,18.58,9.5,6.62,1.78,-10.1,8.37,-11.62,85.28,0.37,2020-09-30,1.97,212.0,30.0,11.6,133.8
128064,司尔转债,002538,司尔特,110.27,12.9,AA,1.88,1.05,33.08,40.48,2.01,0.31,6.08,-28.55,5.14,-8.05,31.62,-0.03,2020-09-30,1.11,43.0,8.0,18.4,123.17
128063,未来转债,002631,德尔未来,102.498,47.2,AA-,1.92,5.91,10.64,-19.31,0.34,-62.23,3.19,-53.29,1.83,-64.47,43.24,4.46,2020-09-30,2.28,40.0,6.3,11.0,149.7
113532,海环转债,603817,海峡环保,101.89,15.9,AA,1.92,2.64,5.24,12.81,0.98,5.02,18.77,-6.89,5.63,-4.25,53.02,1.31,2020-09-30,1.78,30.0,4.6,13.3,117.79
128062,亚药转债,002370,亚太药业,72.62,211.0,BBB,1.92,13.6,3.61,-50.26,-1.07,-1647.88,-29.65,-3221.05,-18.44,-7192.31,70.74,82.51,2020-09-30,6.33,20.0,9.63,11.0,283.62
110057,现代转债,600420,现代制药,105.92,13.6,AAA,1.9,1.15,93.64,3.76,6.31,9.78,6.74,5.81,8.02,-1.6,47.43,-3.55,2020-09-30,1.21,95.0,16.2,15.9,119.52
123025,精测转债,300567,精测电子,127.599,14.1,AA-,1.93,-2.12,12.37,-14.01,1.52,-31.14,12.26,-19.92,9.92,-44.52,63.8,3.5,2020-09-30,8.87,138.0,3.09,2.5,141.7
113530,大丰转债,603081,大丰实业,99.5,44.5,AA,1.93,5.26,15.29,8.75,2.1,14.22,13.73,5.05,10.0,0.6,53.81,8.3,2020-09-30,2.24,46.0,6.3,9.4,144.0
127012,招路转债,001965,招商公路,106.853,24.5,AAA,1.9,0.25,43.94,-22.61,12.46,-62.56,28.36,-51.63,2.47,-65.16,40.48,3.98,2020-09-30,0.96,467.0,50.0,9.2,131.35
123024,岱勒转债,300700,岱勒新材,102.591,16.0,A+,1.93,3.16,1.86,-3.94,0.05,129.26,2.44,-130.46,0.85,130.58,51.96,7.57,2020-09-30,2.71,13.0,2.1,13.9,118.59
123023,迪森转债,300335,迪森股份,97.494,28.1,AA,1.94,4.14,9.19,-5.86,0.4,-55.9,4.37,-53.11,2.64,-56.58,49.28,4.39,2020-09-30,1.44,20.0,5.29,20.1,125.59
110056,亨通转债,600487,亨通光电,102.48,25.3,AA+,1.94,2.82,253.64,3.11,8.74,-26.4,3.45,-28.57,5.97,-34.11,56.59,-12.65,2020-09-30,1.59,290.0,17.1,4.8,127.78
123022,长信转债,300088,长信科技,132.23,6.0,AA,1.95,-3.65,49.9,7.45,7.97,11.89,15.96,4.11,12.01,-13.85,27.69,-27.8,2020-09-30,2.72,188.0,2.57,1.7,138.23
110055,伊力转债,600197,伊力特,127.63,12.8,AA,1.97,-2.78,11.58,-23.34,2.02,-33.05,17.48,-12.69,7.11,-38.12,30.1,-6.83,2020-09-30,3.09,89.0,2.85,3.6,140.43
110053,苏银转债,600919,江苏银行,112.34,17.2,AAA,1.97,1.35,375.25,12.96,119.56,0.64,31.86,-10.91,9.5325,-14.35,92.72,-0.82,2020-09-30,0.63,947.0,200.0,20.2,129.54
127011,中鼎转2,000887,中鼎股份,115.5,22.8,AA+,1.97,-0.22,78.01,-4.66,3.02,-49.73,3.87,-47.28,3.39,-51.57,51.33,4.77,2020-09-30,1.52,133.0,12.0,8.5,138.3
128057,博彦转债,002649,博彦科技,118.579,1.5,AA-,1.98,-0.5,43.1,16.88,3.31,34.26,7.68,14.97,11.45,19.52,31.23,-6.51,2020-12-31,1.83,54.0,5.1,11.0,120.08
110052,贵广转债,600996,贵广网络,99.01,54.8,AA+,1.99,4.56,24.35,11.46,0.63,-62.93,2.6,-66.75,1.33,-65.63,69.64,5.28,2020-09-30,1.18,53.0,15.3,18.3,153.81
113021,中信转债,601998,中信银行,105.14,37.7,AAA,2.01,3.05,1491.74,4.77,369.18,-9.41,24.75,-13.52,7.8975,-16.1,92.5,0.02,2020-09-30,0.57,"2,608",400.0,11.7,142.84
113528,长城转债,603897,长城科技,97.87,33.4,AA-,2.01,4.69,41.41,15.23,1.26,7.48,3.03,-6.77,6.45,-0.62,52.75,70.5,2020-09-30,1.68,31.0,6.34,15.2,131.27
128056,今飞转债,002863,今飞凯达,104.2,29.8,A+,2.01,3.77,21.34,2.68,0.56,18.75,2.6,15.56,5.23,16.22,76.18,0.76,2020-09-30,1.82,27.0,1.72,5.1,134.0
